Country,GDP_USD_Billion
United States,26854.6
China,19373.59
Japan,4409.74
Germany,4308.85
India,3736.88
United Kingdom,3158.94
France,2923.49
Italy,2169.74
Canada,2089.67
Brazil,2081.24
Russia,2062.65
South Korea,1721.91
Australia,1707.55
Mexico,1663.16
Spain,1492.43
Indonesia,1391.78
Netherlands,1080.88
Saudi Arabia,1061.9
Turkey,1029.3
Switzerland,869.6
Taiwan,790.73
Poland,748.89
Argentina,641.1
Belgium,624.25
Sweden,599.05
Ireland,594.1
Thailand,574.23
Norway,554.1
Israel,539.22
Singapore,515.55
Austria,515.2
Nigeria,506.6
United Arab Emirates,498.98
Vietnam,449.09
Malaysia,447.03
Philippines,440.9
Bangladesh,420.52
Denmark,405.63
South Africa,399.02
Hong Kong,382.85
Egypt,378.11
Iran,367.97
Chile,358.56
Romania,348.9
Colombia,334.69
Czech Republic,330.48
Finland,301.67
Peru,268.24
Iraq,267.89
Portugal,267.72
New Zealand,251.97
Kazakhstan,245.7
Greece,239.3
Qatar,219.57
Algeria,206.01
Hungary,188.5
Kuwait,164.71
Ethiopia,156.08
Ukraine,148.71
Morocco,138.78
Slovakia,127.53
Ecuador,121.29
Dominican Republic,121.29
Puerto Rico,120.84
Kenya,118.13
Angola,117.88
Oman,104.9
Guatemala,102.31
Bulgaria,100.64
